Price,Close,High,Low,Open,Volume
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA
Date,,,,,
2018-01-02,4.928808212280273,4.932517192356261,4.808895212313051,4.8405420317586225,355616000
2018-01-03,5.253191947937012,5.283603224296685,5.037595295616599,5.046248795821288,914704000
2018-01-04,5.280882835388184,5.391153886797061,5.2586308443014715,5.334535005055593,583268000
2018-01-05,5.325634002685547,5.362967602648375,5.2188243590666055,5.2957174181485325,580124000
2018-01-08,5.488813877105713,5.562986846425964,5.4042562393635984,5.449254897257547,881216000
2018-01-09,5.487330913543701,5.533812696604784,5.405740449323653,5.494253712230233,497000000
2018-01-10,5.530351638793945,5.533813038350973,5.340468407753612,5.394861896732671,582664000
2018-01-11,5.540242671966553,5.5943890631259245,5.5187320031195535,5.562988881489202,406032000
2018-01-12,5.513044834136963,5.562740913278246,5.472496941965578,5.528374024592321,359916000
2018-01-16,5.442086219787598,5.62504667663531,5.35752902721096,5.53950057999058,702348000
2018-01-17,5.556065082550049,5.565954593562471,5.362720450032951,5.456672926762429,538408000
2018-01-18,5.549141883850098,5.60353536945311,5.5056268124195125,5.536779406499214,408632000
2018-01-19,5.689329147338867,5.7135589432390725,5.612436564409398,5.639385963909379,609380000
2018-01-22,5.777844429016113,5.779575129327431,5.639635040694586,5.697242838877211,550944000
2018-01-23,5.9069037437438965,5.929649946884044,5.812703696846336,5.831246704966619,475228000
2018-01-24,5.83001184463501,5.9459692137338385,5.77438186612525,5.910118730740841,579972000
2018-01-25,5.843608856201172,5.927671808751706,5.828774356215858,5.884403849055849,409884000
2018-01-26,6.016186237335205,6.01643334543541,5.87451548516107,5.8873721800768815,516356000
2018-01-29,6.10321569442749,6.134368762383699,5.948935832675273,6.001598622488833,455116000
2018-01-30,6.001104354858398,6.092584814081034,5.894542284154586,5.961298256702426,570832000
2018-01-31,6.077254772186279,6.1630484318423635,6.043876790584777,6.0765129763844286,478576000
2018-02-01,5.94621467590332,6.10445106781708,5.885887302013202,5.89726040268162,519224000
2018-02-02,5.773640155792236,5.883664102289417,5.715538152114375,5.8596814105670205,718464000
2018-02-05,5.283601760864258,5.766468824864752,5.068499384373576,5.612436092304309,1165204000
2018-02-06,5.577329635620117,5.580296348230482,5.043776912469042,5.053666897664492,1114800000
2018-02-07,5.6569414138793945,5.809491075613452,5.605020410321529,5.6762266949011835,802932000
2018-02-08,5.378049373626709,5.8156707069049585,5.3778017939679295,5.782540304337546,1144000000
